,Date,Timestamp,Low,High,Close,Open
38,2019-04-15 10:30:00,1555338600.0,26329.4492,26370.0703,26356.8203,26345.9102
37,2019-04-15 09:30:00,1555335000.0,26341.0098,26424.8496,26346.3398,26407.7598
36,2019-04-12 15:30:00,1555097400.0,26379.9395,26414.3809,26414.3809,26388.3691
35,2019-04-12 14:30:00,1555093800.0,26364.9199,26390.6191,26388.0391,26385.9297
34,2019-04-12 13:30:00,1555090200.0,26379.4609,26407.9707,26385.8203,26392.4199
33,2019-04-12 12:30:00,1555086600.0,26367.25,26402.0605,26392.4199,26373.2598
32,2019-04-12 11:30:00,1555083000.0,26325.2207,26378.1094,26373.4102,26336.9609
31,2019-04-12 10:30:00,1555079400.0,26309.7207,26378.5996,26337.3594,26368.3594
30,2019-04-12 09:30:00,1555075800.0,26354.0391,26436.6797,26366.6406,26357.7891
29,2019-04-11 15:30:00,1555011000.0,26101.6309,26157.25,26141.3594,26101.6309
28,2019-04-11 14:30:00,1555007400.0,26062.5898,26116.1406,26101.2695,26062.7402
27,2019-04-11 13:30:00,1555003800.0,26063.5996,26117.1602,26063.5996,26115.8496
26,2019-04-11 12:30:00,1555000200.0,26103.9805,26125.6191,26115.8594,26108.7793
25,2019-04-11 11:30:00,1554996600.0,26085.9805,26179.7793,26108.5293,26179.7793
24,2019-04-11 10:30:00,1554993000.0,26174.6699,26213.6191,26180.0098,26191.6504
23,2019-04-11 09:30:00,1554989400.0,26149.3594,26229.8809,26191.6797,26188.2109
22,2019-04-10 15:30:00,1554924600.0,26126.6699,26159.5,26159.1895,26144.6797
21,2019-04-10 14:30:00,1554921000.0,26111.3203,26166.4805,26145.0195,26122.9707
20,2019-04-10 13:30:00,1554917400.0,26104.4902,26153.3398,26123.0996,26140.5391
19,2019-04-10 12:30:00,1554913800.0,26116.9395,26145.3496,26140.4004,26138.3809
18,2019-04-10 11:30:00,1554910200.0,26116.5,26152.1699,26138.3301,26116.5996
17,2019-04-10 10:30:00,1554906600.0,26108.3691,26149.3008,26116.6797,26114.9102
16,2019-04-10 09:30:00,1554903000.0,26101.2402,26209.4902,26114.8906,26173.7109
15,2019-04-09 15:30:00,1554838200.0,26108.8301,26167.8398,26154.6504,26131.2891
14,2019-04-09 14:30:00,1554834600.0,26124.2598,26161.1895,26131.4199,26147.7402
13,2019-04-09 13:30:00,1554831000.0,26136.2402,26172.1406,26147.4004,26161.5996
12,2019-04-09 12:30:00,1554827400.0,26156.6504,26208.9102,26162.0,26203.8496
11,2019-04-09 11:30:00,1554823800.0,26156.8594,26216.2793,26203.2695,26170.8594
10,2019-04-09 10:30:00,1554820200.0,26134.0391,26194.8105,26172.9004,26160.4805
9,2019-04-09 09:30:00,1554816600.0,26103.1406,26246.3398,26160.3496,26243.5391
8,2019-04-08 15:30:00,1554751800.0,26300.6992,26344.6504,26343.0898,26309.3594
7,2019-04-08 14:30:00,1554748200.0,26302.6309,26323.0801,26309.5098,26309.6094
6,2019-04-08 13:30:00,1554744600.0,26299.8691,26324.2891,26309.7695,26308.5
5,2019-04-08 12:30:00,1554741000.0,26275.5898,26314.0293,26308.4102,26293.9805
4,2019-04-08 11:30:00,1554737400.0,26270.3203,26336.5508,26293.9707,26307.8008
3,2019-04-08 10:30:00,1554733800.0,26292.2793,26329.25,26307.6309,26308.1699
2,2019-04-08 09:30:00,1554730200.0,26246.0293,26320.9199,26308.5605,26312.6699
1,2019-04-05 15:30:00,1554492600.0,26397.0703,26441.7305,26425.9707,26429.4805
0,2019-04-05 14:30:00,1554489000.0,26395.0098,26435.2598,26429.4805,26406.3398
