média notícias positivas,preço médio ações (anterior),preço médio ações (atual),data e hora atual
0.41193277310924376,0.3908432876400525,0.4685725414411408,2019-05-16 14:05
0.4319327731092438,0.4685725414411408,0.49668123220023475,2019-05-16 15:06
0.5267379679144385,0.49668123220023475,0.48632365283094714,2019-05-16 16:08
0.5290909090909091,0.48632365283094714,0.47286869080307525,2019-05-16 17:09
0.5524675324675326,0.47286869080307525,0.4647443736157726,2019-05-16 18:00
0.5581818181818182,0.4647443736157726,0.44311179060601447,2019-05-16 19:02
0.6507736104475235,0.44311179060601447,0.3604258525830062,2019-05-17 13:08
0.4707736104475234,0.3604258525830062,0.4594211594606534,2019-05-17 14:09
0.386492673992674,0.4594211594606534,0.45892432715048415,2019-05-17 15:00
0.4048076923076923,0.45892432715048415,0.4616654918474943,2019-05-17 16:02
0.3423076923076923,0.4616654918474943,0.47190611374430347,2019-05-17 17:03
